wiki_title,Federal Archives
,
tooltip_open_wiki,Click here if you would like to know more.
tooltip_close_wiki,Close this panel
tooltip_unit_info_button,Click to get more information about this unit.
,
wiki_topic_gameplay,General Info
wiki_topic_units,Units
wiki_topic_arachnids,Arachnids
wiki_topic_tactics,Tactics
,
wiki_wiki_title,Would you like to know more?
wiki_wiki_descr,"The Federal Archives information channel will tell you everything you need to know!

More information will become available here as you progress through the endeavours of the Mobile Infantry."
,
wiki_unit_stat_range,Range
wiki_unit_stat_suppression,Suppression,
wiki_unit_stat_damage,Damage,
wiki_unit_stat_armorpiercing,Armor Piercing,
wiki_unit_stat_antiair,Anti Air,
wiki_unit_stat_hitpoints,Hitpoints,
wiki_unit_stat_armor,Armor,
wiki_unit_stat_speed,Speed
,
wiki_reinforcing_title,Reinforcing Units
wiki_reinforcing_descr,"Over time, even the toughest units will sustain casualties. While you could let them fight to a heroic end and then deploy green recruits, a more effective solution is to head to a Drop Site where you can bring the unit up to its full squad size and heal any injured soldiers.

To reinforce a unit back to full strength, follow these steps:
• Select the unit
• Click the ""Request Reinforcements"" command button
• Hover the mouse cursor over a valid drop site 
• Click at this location to confirm the order

Valid drop sites are generally located around your radio stations or can be created by specific units such as Radio Operators."
,
// ****************** //,
//       UNITS        //,
// ****************** //,
,
wiki_rifle_squad_traits,• Can clear Hives
,
wiki_sniper_traits,"• Unit rate of fire is not affected by casualties
• Does not block friendly fire,
• Can fire through friendly units,
• Never miss their target"
,
wiki_heavy_troopers_traits,"• Can clear Hives
• Rifle grenades cannot be fired from point blank range"
,
wiki_e-pulse_infantry_descr,Very short fire range but deal high damage
wiki_e-pulse_infantry_traits,• Can clear Hives
,
wiki_marines_traits,"• Can clear Hives
 • Does not block friendly fire
 • Can fire through friendly units
 • Cannot be stunned
 • Does not gain experience"
,
wiki_power_infantry_traits,• Can clear Hives
,
wiki_engineers_traits,"• Unit rate of fire is not affected by casualties
• Weapon deals pass-through damage
• Can clear Hives",
,
wiki_tactical_officer_traits,"• Does not block friendly fire
• Can fire through friendly units
• Cannot have more than one of this type deployed"
,
wiki_rocketeers_traits,"• Unit rate of fire is not affected by casualties
• Can fire over units and elevations"
,
wiki_radio_operator_traits,• Can be used to call in reinforcements
,
wiki_fleet_liaison_traits,"• Can be used to call in reinforcements
• Does not block friendly fire,
• Cannot have more than one of this type deployed"
,
wiki_m11_marauder_hm_traits,"• Cannot capture Radio Stations
• Does not block friendly fire
• Can fire over units and elevations
• Can fire over 1 elevation level
• Cannot be stunned
• Damage output reduces as hitpoints decrease"
,
wiki_m11_marauder_fm_traits,"• Cannot capture Radio Stations
• Does not block friendly fire
• Can fire over friendly units
• Can fire over 1 elevation level
• Cannot be stunned
• Damage output reduces as hitpoints decrease"
,
wiki_m11_marauder_gm_title,M11 Marauder [Minigun]
wiki_m11_marauder_gm_descr,Heavy assault mech
wiki_m11_marauder_gm_traits,"• Cannot capture Radio Stations
• Does not block friendly fire
• Can fire over friendly units
• Can fire over 1 elevation level
• Cannot be stunned
• Damage output reduces as hitpoints decrease"
,
wiki_marauder_traits,"• Cannot capture Radio Stations
• Does not block friendly fire
• Can fire over friendly units
• Can fire over 1 elevation level
• Cannot be stunned
• Damage output reduces as hitpoints decrease"
,
,
,
// ****************** //,
//      ARACHNIDS     //,
// ****************** //,
,
unit_50_descr,"The Chariot Bug is a low-ranking species functioning as scouts and load bearers in Arachnid colonies. They don't form much of a threat when forced into combat roles because of their light armor, slow speed and weak bite."
,
unit_77_descr,"Drone Bugs are an Arachnid caste that look like juvenile versions of the Warrior type. Their exoskeletons are less hardened, making them more vulnerable but also lighter and faster."
wiki_pupae_bugs_traits,"• Can climb outpost walls"
,
unit_1_descr,"The Warrior Bug is a basic but effective melee fighter, available in virtually limitless numbers to the Arachnids. They lead the charge to overwhelm and overrun the enemy."
wiki_warrior_bugs_traits,• Can climb outpost walls
,
unit_11_descr,"The Tiger Bug is a stronger sub-species of the Warrior type. Their tough exoskeletons are more resistant to light weapons and require armor-piercing capabilities to counter effectively."
wiki_tiger_bugs_traits,• Can climb outpost walls
,
unit_19_descr,"A heavily evolved variant of the Warrior bug, the Royal Guard obtained its name from being frequently encountered while protecting colonies that included a Brain or Queen bug.

These Arachnids are exceptionally tough and are known to become even more ferocious once they have received critical injuries."
wiki_royal_guard_bug_traits,"• Will ""enrage"" when its hit points are fully depleted
• When enraged, its hit points are reset once while movement speed is permanently reduced
• Dies when the rage timer expires or if its replenished hit points are depleted",
,
unit_28_descr,"The Spitter Bug is a fragile species that can project acid from a thoracic gland. This substance causes serious corrosion and can even be lethal when exposed to substantial doses.

They are known to operate effectively in concert with Warrior bugs: One providing suppressive fire, while the other forms a meat-shield and closes in for the kill."
wiki_spitter_bugs_traits,• Can climb outpost walls
,
unit_12_descr,"With each Arachnid having evolved to serve a well-defined role, the Tanker Bug functions as a form of assault tank. It has thick armor and the ability to spray a stream of flammable, corrosive liquid."
wiki_tanker_bug_traits,"• Can only be suppressed or stunned by certain special weapon and abilities
• Pools of discharged corrosive liquid remain lethal for a short duration"
,
unit_6_descr,"Hoppers are flying Arachnids that serve as air support and excel at suppressing enemies with constant harassment. These creatures are swift and agile, but their lightly armored bodies make them vulnerable to concentrated fire."
wiki_hopper_bugs_traits,• Cannot be stunned
,
unit_13_descr,"The Scorpion Bug is a deadly ranged assault bug capable of ejecting a powerful beam of plasma from its curved tail that can effectively pierce most targets. With a streamlined shape and reasonably thick armor, this species is highly resistant to light weapon damage."
wiki_scorpion_bug_traits,• Can fire over other units
,
unit_15_descr,"Essentially acting as medium-range artillery in the Arachnid forces, Grenadiers are capable of firing deadly, albeit inaccurate, globs of plasma at ground targets. While they are reasonably well armored, they have little means of defense in close-range combat."
wiki_grenadier_bug_traits,• Can fire over units and elevations
,
unit_16_descr,"This small bug can roll into a ball shape to move around quickly. In order to defeat its enemies, the creature will then unfurl and initiate a biochemical reaction to self-destruct through a violent explosion."
wiki_bombardier_bugs_traits,"• Self-destructs when attacking
• Cannot be stunned",
,
unit_14_descr,"The Plasma Bug serves both as long-range artillery and anti-air defense. It has the ability to fire huge, volatile globs of plasma from its abdomen at distant ground targets or orbiting spaceships."
wiki_plasma_bug_traits,• Can fire over units and elevations
,
wiki_threat_infestation_title,Infestation
