sub_foothold_0,The battle of Klendathu. A day that will live in infamy.
sub_foothold_1,"But from tragedy springs hope, as the Federation rebuilds its fleet bigger and stronger than before."
sub_foothold_2,"To fuel this war machine, all eyes are now on Kwalasha."
sub_foothold_3,"Once an isolated outpost, this mineral-rich world has become a key part of humanity's battle for survival."
sub_foothold_4,But the planet's vital mining industry may now be in danger after reports of Bugs on the surface.
sub_foothold_5,And so the Mobile Infantry answer humanity’s call! These brave men and women will defend Kwalasha from any insect aggression.
,
sub_Hole_Patrol_0,"With the size of the Bug problem now clear, immediate action is needed."
sub_Hole_Patrol_1,"The Mobile Infantry moves into gear to protect Kwalasha, its mines, and its people."
,
sub_Piece_of_Mine_0,"Kwalashans take great pride in their planet’s mining industry. Through sweat of brow, valiant colonists dig up the precious minerals the Federation needs."
sub_Piece_of_Mine_1,It’s an ore effort for the war effort!
sub_Piece_of_Mine_2,And they’re not going to let a few Bugs scare them off!
sub_Piece_of_Mine_3,"The Mobile Infantry has begun escorting workers, many of them patriotic volunteers, back into the mines so they can keep excavating the future of humanity!"
,
sub_Power_struggle_0,Federation scientists ask - Who turned off the lights?
sub_Power_struggle_1,"Rolling blackouts plague the planet as bugs target Kwalasha’s electrical grid. Industry grinds to a halt, threatening to paralyze the war effort."
sub_Power_struggle_2,Military operations are underway to retake the critical power station and nip these outages in the bud. 
sub_Power_struggle_3,The Mobile Infantry will get the job done!
,
sub_Deep_Cleaning_0,"There’s danger afoot, underfoot! The Bugs lurk in subterranean tunnels, preparing for their next vicious attack."
sub_Deep_Cleaning_1,"Wiping out these nests is dangerous work, but nothing the Mobile Infantry can’t handle."
sub_Deep_Cleaning_2,Our brave troopers will uncover and eradicate the enemy wherever they hide!
,
sub_Prison_Break_0,The only thing worse than a Bug… is a traitor!
sub_Prison_Break_1,"After a string of civilian deaths, subversive elements are using the mining tragedy to push their own false agenda."
sub_Prison_Break_2,"One such rabble rouser is Thomas Rees, leader of the Kwalashan Miners’ Union. In times of war, dissent is deadly and will not be tolerated."
sub_Prison_Break_3,"Execution tonight at 6, all net, all channels."
,
sub_Tide_Breaker_0,"Attacks are reported across Kwalasha, overwhelming local defenses."
sub_Tide_Breaker_1,"But hope is not lost. The tide of insects will meet their match at Fort Meru, the Mobile Infantry’s formidable base of operations."
sub_Tide_Breaker_2,"From their new headquarters in high orbit to oversee the conflict, Military Command has expressed their full confidence in Meru’s ability to withstand the coming siege."
sub_Tide_Breaker_3,Don’t doubt this redoubt.
sub_Tide_Breaker_4,The Bug stops here!
,
