// NAME,
scenario_name,[17] Fly or Die
,
// DESCRIPTION,
scenario_descr,"Clearly identifying the potential threat of our overwhelming air power, the Arachnids have attacked and overrun the Fleet air base on Kwalasha.

To assure the enemy does not regain any momentum, M.I. troopers are eager to reclaim the facility and get their Fleet comrades back in the air."
,
// OBJECTIVES,
objective_2_0_title,Capture the Flight Control Tower
objective_2_6_title,Secure all Satellite Stations
objective_2_7_title,Clear all Arachnids around the Flight Control Tower
objective_2_9_title,Kill 250 Arachnids
objective_2_10_title,Survive the final wave
objective_2_11_title,Satellite Station rewards:
objective_2_1_title,• Hangars Section: Unlock the Fleet Liaison
objective_2_1_details,Provides Fleet Relays for air strikes
objective_2_4_title,• Warehouse Section: Unlock M9 Sledgehammers
objective_2_4_details,Provides Support Center
objective_2_5_title,• Power Plant Section: Unlock M6 Jaegers
objective_2_5_details,Provides Power Plant and activates all Searchlights
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_431,Satellite Station
unit_738,Power Spawn 1
unit_739,Power Spawn 2
unit_778,Weapon Storage Station
unit_835,TAC Killers Spawn
unit_882,Hangars Station
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVE/CAPTURE FLIGHT CONTROL/START BRIEFING ============== ",
// 2.ava cortez,
briefing_trigger_3_text,How the hell did bugs get through the perimeter line? Those defences were iron tight!
//,
// 3.victor yarrow,
briefing_trigger_11_text,"Perhaps, but this air base certainly wasn’t designed to repel an attack."
//,
// 2.ava cortez,
briefing_trigger_29_text,Why establish an airbase here anyway?  These aircraft could be safe in orbit – now they’re just asking to be attacked.
//,
// 3.victor yarrow,
briefing_trigger_339_text,I’m sure Command had their reasons.
//,
// 2.ava cortez,
briefing_trigger_468_text,Power troopers are dropping to secure an initial landing spot.
briefing_trigger_718_text,It's going to be a long night.
,
,
,
,
"// ============== /OBJECTIVE/CLEAR FLIGHT CONTROL SECTION/BRIEFING ============== ",
// 2.ava cortez,
briefing_trigger_491_text,There are Bug Lairs around the tower. Take them all out.
,
,
,
,
"// ============== /OBJECTIVE/SECURE AIRFIELD/TRIGGERS/HANGARS/REWARD HANGARS ============== ",
// 2.ava cortez,
briefing_trigger_463_text,Hangars secured! Get those strikes rolling!
,
,
,
,
