// NAME,
scenario_name,[9] Burning Skies
,
// DESCRIPTION,
scenario_descr,"Following the fall of Fort Meru during the new Arachnid offensive, Terran Command has vowed to take back the initiative and recover all lost territory.

A massive fleet of dropships has gathered and is now en route to carry our troopers back into the battlefield."
,
// OBJECTIVES,
objective_2_13_title,Defend and secure the crash sites
objective_2_0_title,Keep one unit of Rocket Troopers alive
objective_2_7_title,Reach the Radio Station
objective_2_8_title,Destroy the marked Plasma Bugs
objective_2_9_title,Destroy the remaining Plasma Bugs
objective_2_12_title,Capture bases to unlock additional unit types
objective_2_10_title,Rescue Survivors
objective_2_14_title,Kill the last Plasma Bug before the Death horde arrives
objective_3_3_title,Victory
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_63,spawn position
unit_64,spawn position
unit_177,Spawn Point
unit_417,East Stream Spawn
unit_418,West Stream Spawn
unit_423,Crash Site
unit_424,Crash Site
unit_490,cinematic plasma
unit_498,#cam start
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/SURVIVE/BRIEFING ============== ",
// 0.hawthorne,
briefing_trigger_15_text,"Come in, anybody. Any one? It’s a massacre out there."
briefing_trigger_660_text,"Plasma bugs were waiting for us, blew our shuttles out of the sky."
,
,
,
,
"// ============== /OBJECTIVES/ROCKETEERS/TRIGGERS/FAIL ============== ",
// 0.hawthorne,
briefing_trigger_264_text,Rocket troopers are down! We're done for.
,
,
,
,
"// ============== /OBJECTIVES/ROCKETEERS/BRIEFING: ROCKETS FOUND ============== ",
// 0.hawthorne,
briefing_trigger_69_text,Use the rocket launchers and ammo crates from the dropship. You'll need their extra reach.
,
,
,
,
"// ============== /OBJECTIVES/REACH RADIO STATION/BRIEFING ============== ",
// 0.hawthorne,
briefing_trigger_705_text,"Comms are shot to hell, we can't get through to request pickup."
briefing_trigger_3_text,Our best chance is to fight our way west to a local relay station. From there we should be able to contact Fleet
,
,
,
,
"// ============== /OBJECTIVES/LIFT AIR BLOCKADE/BRIEFING ============== ",
// 1.ava advisor,
briefing_trigger_59_text,"Glad to hear your voice, colonel, I knew you’d pull through."
//,
// 0.hawthorne,
briefing_trigger_661_text,I always do.
//,
// 1.ava advisor,
