// NAME,
scenario_name,[10] Valley of Death
,
// DESCRIPTION,
scenario_descr,"Already referred to as ""A Second Klendathu"" by some, our ambitious counter-offensive has turned into a disaster.

Exact details and casualty numbers still remain unclear as isolated groups of survivors fight their way back to friendly territory."
,
// OBJECTIVES,
objective_2_0_title,Capture a Radio Station
objective_2_1_title,Contact HQ at Radio Post
objective_2_2_title,Evacuate 15 soldiers to the Canyon Exit
objective_2_4_title,Keep at least 15 soldiers alive
objective_2_3_title,Ambush the Arachnid horde
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_126,Rocket Troopers
unit_166,Damaged Radio Post
unit_286,Exit Objective
unit_310,Reinforcement Radius
unit_311,Reinforcements Radius
unit_320,Pursuit Spawn
unit_326,Reinforcement Radius
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/OBJECTIVE: REACH RADIO/BRIEFING ============== ",
// 0.hawthorne,
briefing_trigger_1_text,"Is this all?  Is this everyone that’s made it?  Damn it, we lost a lot of good people."
briefing_trigger_9_text,"This canyon’s the only way home. I don’t like it, but there’s no other choice."
briefing_trigger_59_text,"After last night’s fiasco, this whole area is enemy territory."
briefing_trigger_405_text,"The map shows some old bases up ahead. Abandoned a while ago, but they’re our best chance."
briefing_trigger_60_text,...so stay sharp and keep a lookout for other survivors. We can’t be the only ones that got out.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: REACH RADIO/DIALOG: GETTING CLOSE TO FIRST RADIO ============== ",
// 0.hawthorne,
briefing_trigger_89_text,"Hang in there, we're almost at the radio station. Might be a bit dusty, but they should have a functioning transmitter."
briefing_trigger_90_text,Once we’re there we can take a breather and wait for pickup
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: REACH RADIO/EVENT: FIRST RADIO BLOWS UP ============== ",
// 0.hawthorne,
briefing_trigger_329_text,"Damnit, guess we’re not using that radio."
briefing_trigger_330_text,There should be another transmitter further on.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: AMBUSH ARACHNID PATROL/TRIGGERS/SUCCESS ============== ",
// 0.hawthorne,
briefing_trigger_391_text,That was neatly done. But we've got to keep moving forward.
,
,
,
,
