// NAME,
scenario_name,[4] Cave Cleaning
,
// DESCRIPTION,
scenario_descr,"The Mobile Infantry continues its mission of clearing bug hives and mining tunnels around the settlements of Kwalasha.

Several squads have not returned from one of the larger mines, prompting Hawthorne's battle-hardened troopers to investigate the scene."
,
// OBJECTIVES,
objective_2_0_title,Secure the mine
objective_2_1_title,Kill the wounded Tanker Bug
objective_2_2_title,Take the Control Room
objective_2_3_title,Defeat the Arachnid attack
objective_2_4_title,Secure the Drilling Site
objective_2_5_title,Kill the final Tanker Bug
objective_2_6_title,Reach the survivors
objective_2_8_title,Capture Ammunition Stashes
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_57,Control Room Terminal
unit_79,Security Camera
unit_80,Reinforce Trigger
unit_86,East Respawn
unit_95,Security Camera
unit_96,Respawn Marker
unit_123,Security Camera
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/OBJECTIVE: SECURE THE MINE/BRIEFING ============== ",
// 0.hawthorne,
briefing_trigger_2_text,"So, tell me about this deathtrap you’ve sent us into.  Any word from the advance squads?"
//,
// 2.ava cortez,
briefing_trigger_250_text,We don’t know the situation underground. It’s safe to assume that bugs still control the mine tunnels.
//,
// 0.hawthorne,
briefing_trigger_251_text,"Roger that. All right troopers, let’s go on a bug hunt! I want every inch of these mines cleared!"
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: GET TO THE CONTROL ROOM/BRIEFING ============== ",
// 0.hawthorne,
briefing_trigger_84_text,These doors are locked. Must have been trying to stop the bugs
briefing_trigger_85_text,You'll need to get to the control room to get them open.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: GET TO THE CONTROL ROOM/SUCCESS ============== ",
// 1.ava advisor,
briefing_trigger_108_text,Control Room is back online. Remotely accessing door locks...
,
,
,
,
"// ============== /OBJECTIVES/FAILURE: LOSE ALL UNITS/FAIL ============== ",
// 0.hawthorne,
briefing_trigger_6_text,Goddamnit. All friendly units down. Mission failed.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: KILL TANKER/TRIGGERS/BRIEFING ============== ",
// 0.hawthorne,
briefing_trigger_18_text,Tanker bug! Keep your distance from that thing!
,
,
,
,
