// NAME,
scenario_name,[14] Federatsiyagrad
,
// DESCRIPTION,
scenario_descr,"Kwalasha’s capital has been the recent focal point in the war against the Bug, leaving much of the city in ruins.

While brave defenders hang on to a sliver of urban territory, the preparations for a powerful counter-attack are already underway."
,
// OBJECTIVES,
objective_2_0_title,Do not lose the foothold
objective_2_2_title,Clear all Bug Hives
objective_2_3_title,Capture a Satellite Station
objective_2_4_title,Capture the Traffic Control Center
objective_2_6_title,Capture Radio Stations
objective_2_7_title,Destroy the Metro attack waves
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_258,Foothold
unit_325,Traffic Control Terminal
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/OBJECTIVE: HOLD FOOTHOLD/TRIGGERS/FAIL ============== ",
// 2.ava cortez,
briefing_trigger_2_text,The bridgehead's been overrun!
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: HOLD FOOTHOLD/TRIGGERS/EVENTS TIMELINE ============== ",
// 3.victor yarrow,
briefing_trigger_412_text,"Careful, they’re going to flank you"
//,
// 2.ava cortez,
briefing_trigger_557_text,Where? I don’t see them.
//,
// 3.victor yarrow,
briefing_trigger_558_text,Not yet. They’ll do it in the future.
//,
// 2.ava cortez,
briefing_trigger_559_text,Watch our flank!
briefing_trigger_413_text,That slimy son of a bitch was right.
//,
// 3.victor yarrow,
briefing_trigger_560_text,You know you’re still on radio.
//,
// 2.ava cortez,
briefing_trigger_561_text,I know.
briefing_trigger_569_text,"Here they come again. Keep shooting, rinse and repeat."
//,
// 3.victor yarrow,
briefing_trigger_565_text,Reinforcements just left the ships. They’ll be entering the atmosphere momentarily.
//,
// 2.ava cortez,
briefing_trigger_568_text,"Hold on people, we’re almost through this. Tomorrow’s a new day to die."
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: HOLD FOOTHOLD/BRIEFING ============== ",
// 2.ava cortez,
briefing_trigger_1_text,"This bridgehead is the last line of defense. If it goes, there’s nothing between bugs and the refugee camps."
//,
// 3.victor yarrow,
briefing_trigger_129_text,Please keep those civilians safe. We need them back in the factories when all this is over.
//,
// 2.ava cortez,
briefing_trigger_550_text,"Reinforcements will come across when they can, but Command is keeping a tight rein on their supplies."
//,
