// NAME,
scenario_name,[1] Pacification
,
// DESCRIPTION,
scenario_descr,"The Mobile Infantry has arrived in strength on the desert world of Kwalasha. Its ultimate objective is to pacify the planet and ensure the mining of vital minerals proceeds without major interruptions.

Several squads have just been sent out to secure the surroundings of Outpost Delta IV and the colonist settlements in the sector."
,
// OBJECTIVES,
objective_2_0_title,Pursue and destroy all Arachnids
objective_2_1_title,Defend the Radio Station
objective_2_2_title,Fall back to Outpost Delta IV
objective_2_3_title,Survive the Arachnid assaults
objective_2_5_title,Capture the Radio Station
objective_2_6_title,Join up with the advance team
objective_2_7_title,Reinforce all depleted Rifle Trooper squads at the Radio Station
objective_2_4_title,Confiscate Ammo Stashes
objective_2_4_details,"Per Ammo Stash collected: Obedience+1, Popularity-1"
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_140,Objective
unit_142,Objective
unit_164,Final Wave A
unit_165,Reinforce Rifle1
unit_166,Reinforce Rifle2
unit_170,Final wave Objective
unit_175,Wave Warning
unit_183,Final Wave B
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/OBJECTIVE: EXTERMINATE BUG HIVE/TRIGGERS/EVENTS/OFFICER BEHAVIOUR/OFFICER ORDERS MOVE ============== ",
// 0.hawthorne,
briefing_trigger_667_text,Take position on the left flank to get clear lines of fire!
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: EXTERMINATE BUG HIVE/TRIGGERS/EVENTS/ATTACK STAGES/ANNOUNCE ADVANCE ============== ",
// 0.hawthorne,
briefing_trigger_665_text,We’ve thinned em out. Let’s move forward.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: EXTERMINATE BUG HIVE/TRIGGERS/EVENTS/BRIEFING ============== ",
// 0.hawthorne,
briefing_trigger_404_text,Advance team located the bug hole. Hope they saved something for us to shoot.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: EXTERMINATE BUG HIVE/TRIGGERS/EVENTS/LOS WARNING ============== ",
// 0.hawthorne,
briefing_trigger_795_text,We can’t shoot through our own troops. Not without filing a lot of paperwork after.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: EXTERMINATE BUG HIVE/BRIEFING ============== ",
// 0.hawthorne,
