// NAME,
scenario_name,[13] Guardians of Steel
,
// DESCRIPTION,
scenario_descr,"The seemingly unstoppable bug hordes have reached the center of Federatsiyagrad, the capital city of Kwalasha.

The Mobile Infantry headquarters within the city has been completely cut off, but Terran Command has assured the arrival of a new weapon will soon turn the tide of the war."
,
// OBJECTIVES,
objective_2_0_title,Reach the MI compound
objective_2_1_title,Keep at least 1 Marauder alive
objective_2_2_title,Evacuate the General
objective_2_3_title,Rescue isolated troopers
objective_2_5_title,Clear all bugs from the compound perimeter
objective_2_5_details,+10 War Support
objective_2_6_title,Destroy the Bug Lairs
objective_2_8_title,Clear all bug hives beyond the river
objective_2_10_title,Protect the General
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_194,Exit Marker
unit_229,Marauder Drop
unit_295,Reinforce Radius
unit_296,Reinforce Radius
unit_298,Reinforce Radius
unit_333,entrance
unit_334,exit
unit_335,Bodyguard
unit_336,Lairs Marker
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/OBJECTIVE: DEFEND THE COMPOUND/BRIEFING ============== ",
// 2.ava cortez,
briefing_trigger_414_text,We got bugs on all sides. Nowhere to run.
briefing_trigger_415_text,Retreat is not an option. Keep fighting til you’re dead!
//,
// 3.victor yarrow,
briefing_trigger_416_text,"A brave sentiment, but your deaths won’t be necessary... today."
briefing_trigger_417_text,"Reinforcements should arrive any minute. Until then, I suggest holding that compound."
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: CLEAR BUG LAIRS/TRIGGERS/SUCCESS ============== ",
// 2.ava cortez,
briefing_trigger_198_text,Bug lairs are clear.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: CLEAR BUG LAIRS/TRIGGERS/SPEECH: FLAMETHROWERS ============== ",
// 3.victor yarrow,
briefing_trigger_431_text,Every weapon in the Federation’s arsenal has its place. But I’ll grant these M11 Babars are more useful on planets we want to keep.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: CLEAR BUG LAIRS/TRIGGERS/SPEECH: LOAN FROM RICO ============== ",
// 3.victor yarrow,
briefing_trigger_159_text,Take good care of those Marauders. They’re on loan from General Rico.
//,
// 2.ava cortez,
briefing_trigger_194_text,"Aw, we have to give them back?"
,
,
