// NAME,
scenario_name,[19] Operation Guillotine
,
// DESCRIPTION,
scenario_descr,"Following years of brutal struggle, our forces on Kwalasha have finally isolated and trapped the Brain Bug orchestrating the Arachnid hordes on the planet.

A vicious battle still lies ahead but we must seize this opportunity to cut off the head of the monster and bring an end to its reign of terror."
,
// OBJECTIVES,
objective_2_0_title,Clear Initial Hives
objective_2_2_title,Secure Forward Base
objective_2_3_title,Capture the Brain Bug
objective_2_10_title,Advance to the north
objective_2_1_title,Clear Hives
objective_2_9_title,Help clearing the hive on the left flank
objective_2_7_title,Secure Wavebreaker positions
objective_2_6_title,Reach the Camera Crew to deploy an M11 Honor Guard
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_640,Wavebreaker Site
unit_659,Wavebreaker Site
unit_668,Wavebreaker Site
unit_669,Wavebreaker Site
unit_672,Wavebreaker Site
unit_673,Honor Guard spawn
unit_802,Brain Marker
unit_811,Allied Spawn Point
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/CLEAR INITIAL HIVES/START BRIEFING ============== ",
// 2.ava cortez,
briefing_trigger_158_text,"OK you Apes, listen up! I can't say when this war with the Bugs will end -- that's up to Terran Command. But the war on Kwalasha... it ends today, and it's up to us. This is the final showdown."
briefing_trigger_199_text,"5th division is providing support. They’ve got penal battalions mixed in with them, so we’ll have to put up with those criminals and deserters on our flank while we push uphill"
briefing_trigger_200_text,Intel says the brain bug is holed up in a cave system on top the mountain. Drive up on the right and pry that sonufabitch out into daylight.
briefing_trigger_201_text,"Capture it alive, kill every other bug on this hill. You get me?"
,
,
,
,
"// ============== /OBJECTIVES/FORWARD BASE/BRIEFING ============== ",
// 2.ava cortez,
briefing_trigger_548_text,"Once we have broken through the outer ring of hives, we will push north and establish a new base in the abandoned outpost across the river."
,
,
,
,
"// ============== /OBJECTIVES/CATCH THE BRAIN BUG/TRIGGERS, 1ST SIGHT/TIMELINE ============== ",
// 2.ava cortez,
briefing_trigger_163_text,Here they come! Bugs bursting out of the ground!
//,
// 3.victor yarrow,
briefing_trigger_164_text,"I see this ambush as a positive sign. If the Brain Bug is willing to risk exposing itself in that fashion, the Bugs' situation must be desperate."
,
,
,
,
