// NAME,
scenario_name,[2] Hole Patrol
,
// DESCRIPTION,
scenario_descr,"In order to permanently eliminate the Arachnid threat on Kwalasha, we must burn the bugs out of their underground colonies. All major hives must be located, assaulted and eradicated.

This dangerous task will now be undertaken by our troopers in the Delta IV sector, where several bug holes have been detected along a vital highway."
,
// OBJECTIVES,
objective_2_5_title,Reach the Supply Base
objective_2_0_title,Clear all Bug Hives
objective_2_2_title,Ambush the bug attack wave
objective_2_2_details,Position your troops on the canyon heights and slaughter the bug attack.
objective_2_10_title,Capture all Radio Stations
objective_2_1_title,Construct a Support Center
objective_2_1_details,"
"
objective_2_11_title,Deploy 3 Rifle Trooper squads
objective_2_3_title,Deploy 2 Combat Engineer squads
objective_2_6_title,Deploy a Command Center and 2 Sniper teams
objective_2_8_title,Construct 2 HMG Turrets
objective_2_9_title,Reposition HMG Turrets at the road crossing
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/OBJECTIVE: REACH ALLIED OUTPOST/BRIEFING ============== ",
// 0.hawthorne,
briefing_trigger_238_text,Command has identified numerous bug holes in the area and guess whose job it is to clean ’em out.
briefing_trigger_320_text,Get your squads over to the supply base Asap and we’ll go from there. Move out!
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: REACH ALLIED OUTPOST/APPROACH BASE ============== ",
// 0.hawthorne,
briefing_trigger_626_text,Radio station up ahead. We should be able to cut through this interference and get some reinforcements.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: DEPLOY 3 RIFLES/BRIEFING ============== ",
// 0.hawthorne,
briefing_trigger_121_text,OK call HQ and get another squad dropped on this position. We’re going to need all the help we can get.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: DESTROY BUG HOLES/INFO: CAPTURE FIRST HOLE/BRIEFING: ENTER FIRST BUG HOLE ============== ",
// 0.hawthorne,
briefing_trigger_22_text,"OK the bugs are down. Get a squad in that bug hole to seal it up. They’re going to take some casualties, but that’s what we’re here for."
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: DESTROY BUG HOLES/BRIEFING ============== ",
// 0.hawthorne,
