// NAME,
scenario_name,[7] In Deep Trouble
,
// DESCRIPTION,
scenario_descr,"While the bug problem on Kwalasha is firmly under control, an enduring presence of the Mobile Infantry remains necessary to assure peace and security for the colonists and miners.

A recently expanded mining facility has gone dark, and M.I. troopers have been called in to investigate the source of the problem."
,
// OBJECTIVES,
objective_2_1_title,Restart all Mining Drills
objective_2_5_title,Do not lose either Tactical Officer
objective_2_4_title,Access the Control Room Terminal
objective_2_3_title,Access the Door Lock Terminal
objective_2_7_title,Reach the Security Gate
objective_2_0_title,Access the Security Gate Terminal
objective_2_2_title,Get both Tactical Officers to the Exit Point
objective_2_6_title,Capture Ammunition Stashes
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_44,Warrior Bugs
unit_105,Security Gate
unit_312,Door Lock Terminal
unit_315,East Respawn
unit_316,West Respawn
unit_326,Security Gate
unit_331,Control Room Terminal
unit_343,Escape Objective
unit_348,Middle Respawn
unit_361,Control Room Door
unit_363,Gate (Closed)
unit_365,Security Gate Terminal
unit_392,Supply Tunnel
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/OBJECTIVE: CAPTURE ALL MINING DRILLS/TRIGGERS/2 DRILLS SECURED ============== ",
// 0.hawthorne,
briefing_trigger_492_text,"Check every drill you can find.  The more we secure, the more bug gumbo we can make when we turn them on."
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: CAPTURE ALL MINING DRILLS/TRIGGERS/3 DRILLS SECURED ============== ",
// 0.hawthorne,
briefing_trigger_166_text,We've secured another drill. One more to go.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: CAPTURE ALL MINING DRILLS/BRIEFING ============== ",
// 0.hawthorne,
briefing_trigger_58_text,Nothing like a mine to make you appreciate the desert...
briefing_trigger_68_text,"Some seismic disturbance was picked up yesterday, then the line went dead. Third squad’s gone in to have a look and we’ve heard nothing since."
briefing_trigger_70_text,It’s probably just another rockfall messing with comms again – but let’s do this by the book anyway.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: KEEP ALL OFFICERS ALIVE/FAIL ============== ",
// 0.hawthorne,
briefing_trigger_163_text,Ugh... Tactical Officer is down...
,
,
,
,
