// NAME,
scenario_name,[3] Peace of Mine
,
// DESCRIPTION,
scenario_descr,"Following the annihilation of countless Bug hives, Terran Command has decided to focus its assets toward reactivating vital ore mines and assuring the safety of mining personnel.

An abandoned outpost amongst the mining facilities has been reclaimed and fortified. This old base will serve as the staging point from which the Mobile Infantry will mop up any remaining Arachnid colonies."
,
// OBJECTIVES,
objective_2_7_title,Do not lose the central base
objective_2_21_title,Defeat the attack wave
objective_2_11_title,Reopen First Mining Shaft
objective_2_2_title,Reopen all Mining Shafts
objective_2_19_title,Collect at least 2 Materiel Caches
objective_2_22_title,Construct 4 HMG Turrets in the central base
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_2,Mining Shaft
unit_343,#First Miner Drop
unit_351,Mining Shaft
unit_424,Central Base
unit_448,Mining Shaft
unit_502,Mining Shaft
unit_526,West Drop Site
unit_606,N Drop Site
unit_607,Small Attacks Spawn
unit_611,NE Drop Site
unit_620,#cam start
unit_641,#First Miner Drop 2
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/DEFEND THE BASE/TRIGGERS/SUCCESS ============== ",
// 1.ava advisor,
briefing_trigger_988_text,The Mine is operational. Command appreciates your efforts.
,
,
,
,
"// ============== /OBJECTIVES/DEFEND THE BASE/TRIGGERS/FAIL ============== ",
// 0.hawthorne,
briefing_trigger_986_text,The Main Base has been lost. The mission's over...
,
,
,
,
"// ============== /OBJECTIVES/DEFEND THE BASE/BRIEFING ============== ",
// 0.hawthorne,
briefing_trigger_1312_text,"Welcome to Mineville, Lieutenant."
briefing_trigger_1313_text,"Bugs made a mess of the Kwals' attempts to defend this base, we're here to do a better job of it."
briefing_trigger_1318_text,The flyboys report some serious bug activity out to the East.
briefing_trigger_1319_text,"Our mission is to get these miners back into their holes, not to go play in the dust with Archie. We'll ice them as they come at the walls."
briefing_trigger_1448_text,"Organise your defences and call down some extra bodies. Keep those bugs outside the walls, Lieutenant!"
,
,
,
,
"// ============== /OBJECTIVES/ATTACK WAVES/TRIGGERS/REGULAR ATTACK WAVES/BRIEFING ============== ",
// 1.ava advisor,
briefing_trigger_1423_text,"Be advised, another major bug attack is coming in from the East."
,
,
,
,
