// NAME,
scenario_name,[6] Power Struggle
,
// DESCRIPTION,
scenario_descr,"While the Mobile Infantry has been occupied with driving the Bugs out of caves and mining tunnels, the Arachnids have broken into the main hydro-electric power plant in the sector.

To restore power and prevent long-term damage to the Kwalashan industry and civilian infrastructure, liberating the facility is now the primary objective."
,
// OBJECTIVES,
objective_2_3_title,Select a base for deployment
objective_2_0_title,Repair 2 Power Turbines
objective_2_5_title,Status Turbine A
objective_2_6_title,Status Turbine B
objective_2_11_title,Clear 3 Bug Hives
objective_2_1_title,Repair the Power Core
objective_2_4_title,Capture the Security Center
objective_2_13_title,Kill 10 Tiger Bugs to unlock Mk II Troopers
objective_2_12_title,Deploy at least 2 squads of Mk II Troopers to deal with Tiger Bugs
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_196,Power Turbine A
unit_496,Security Center
unit_551,Power Turbine B
unit_609,rooftopA
unit_610,rooftopB
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/CHOOSE DEPLOYMENT STATION/BRIEFING ============== ",
// 0.hawthorne,
briefing_trigger_714_text,Bugs are holed up tight inside the power station.  Gonna be a real nightmare to pry them outta there.
//,
// 1.ava advisor,
briefing_trigger_681_text,"Point taken, Colonel, but your mission is to root out the bug infestation and secure vital machinery around the facility."
briefing_trigger_682_text,Initial priorities are the damaged power turbines.  They'll have to be repaired by your combat engineers - but getting to them won't be easy.
briefing_trigger_483_text,"There are three possible insertion points for your force: The Northwest, in front of the main entrance..."
briefing_trigger_487_text,"... to the east, at the end of the dam..."
briefing_trigger_488_text,"... or to the south, by the storage tanks. The team on the ground has to make the call on how to proceed."
,
,
,
,
"// ============== /OBJECTIVES/REPAIR POWER TURBINES/TRIGGERS/TURBINE STATUS/DIALOGUE: PROGRESS REPORT ============== ",
// 1.ava advisor,
briefing_trigger_549_text,Command is asking for a progress report.
//,
// 0.hawthorne,
briefing_trigger_822_text,We've just got one turbine up and running.  Moving to the next one now
//,
// 1.ava advisor,
briefing_trigger_823_text,You might have to pick up the pace.  Brass is feeling the pressure.
//,
// 0.hawthorne,
briefing_trigger_824_text,"OK OK, we'll step on it."
,
,
,
,
