// NAME,
scenario_name,[5] No Escape
,
// DESCRIPTION,
scenario_descr,"The treacherous leader of the Miner's Union on Kwalasha - sentenced to death by electrocution - has repeatedly escaped custody through sheer luck or sabotage. Even with his latest recapture, carrying out his execution has hit a new snag.

The union leader’s transport shuttle has come down just beyond the walls of his final destination. As keepers of justice for the Federation, a detachment of the Mobile Infantry has arrived on scene and will swifty track down the elusive criminal."
,
// OBJECTIVES,
objective_2_0_title,Keep the prison secured
objective_2_1_title,Protect the Prisoner Blocks
objective_2_2_title,Capture the Rocket Depot
objective_2_4_title,Find Thomas Rees
objective_2_5_title,Deliver Thomas Rees alive to the prison
objective_2_11_title,Defeat the Arachnid attack
objective_2_9_title,Destroy the Tanker Bug
objective_2_10_title,Clear Bug Hives
objective_2_7_title,Crush the prison revolt
objective_2_14_title,Hold until the execution is completed
objective_2_6_title,Capture the Control Room
objective_2_3_title,Position squads along the wall
objective_2_8_title,Collect all Supply Caches
objective_2_13_title,Deploy 2 Rocket Trooper squads
objective_2_12_title,Kill Tanker Bugs
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_44,Cell Block B
unit_46,Cell Block A
unit_133,Fugitives
unit_134,Fugitives
unit_136,Fugitive Sniper
unit_141,Prison Guards
unit_142,Prison Guards
unit_143,Objective
unit_151,Subject 89
unit_152,Subject 113
unit_164,Fugitives
unit_179,Cell Block C
unit_182,Containment Gate
unit_183,Containment Gate
unit_184,Containment Gate
unit_229,Man the Wall
unit_230,Man the Wall
unit_231,Man the Wall
unit_232,Man the Wall
unit_244,Security System
unit_245,Control Mainframe
unit_274,Metal Detector
unit_312,Supply Drop A
unit_328,Supply Drop B
unit_358,Warden's Office
unit_396,First Tanker Spawn
unit_446,Revolt Objective
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/OBJECTIVE: SUPPLY DROPS/BRIEFING ============== ",
// 1.ava advisor,
briefing_trigger_1133_text,Bug activity is on the increase.  Fleet has dropped supplies to build up your force.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: CRUSH PRISONER REVOLT/TRIGGERS/SUCCESS ============== ",
// 0.hawthorne,
briefing_trigger_917_text,It’s over. The prison is pacified.
,
,
,
,
