// NAME,
scenario_name,[8] Tide Breaker
,
// DESCRIPTION,
scenario_descr,"The appearance of massive Arachnid attacks all across Kwalasha has broken the all-too-short period of peace and prosperity on the planet.

While countless smaller outposts have been overrun, the Mobile Infantry will bring the Bug offensive to a halt in front of the formidable walls of Fort Meru."
,
// OBJECTIVES,
objective_2_0_title,Do not lose Fort Meru
objective_2_7_title,Defend the first line
objective_2_8_title,Defend the second line
objective_2_10_title,Defend Fort Meru
objective_2_1_title,Hold until 40 Personnel has been evacuated
objective_2_15_title,Defeat 2 attack waves
objective_2_16_title,Capture caches
objective_2_12_title,Survive until next Materiel delivery
objective_2_13_title,Survive until next War Support delivery
objective_2_14_title,Survive until next Supply delivery
objective_2_17_title,Kill 3 Scorpions with Rocket Launcher Turrets
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_55,Supply Drop 1
unit_122,Supply Drop 2
unit_193,Evacuation Point
unit_248,Fort Maru Station
unit_271,#Supply Drop 1
unit_297,#camera start
unit_299,#Supply Drop 2
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/DEFEND FIRST LINE/TRIGGERS/EVENTS/ACTIVATE HIVE 1 ============== ",
// 0.hawthorne,
briefing_trigger_198_text,This whole damn area must be riddled with Bug tunnels. We've got hives popping up amid our forward outposts.
,
,
,
,
"// ============== /OBJECTIVES/DEFEND FIRST LINE/BRIEFING ============== ",
// 0.hawthorne,
briefing_trigger_64_text,It's a complete shitshow out here. I haven’t seen this many bugs since Big K.
briefing_trigger_483_text,"Clever bastards, waiting down there all this time, building their numbers."
briefing_trigger_65_text,But they won't get past the guns of Fort Meru.
briefing_trigger_514_text,This is where we hold ’em.
briefing_trigger_66_text,Outer defenses will get hit first.  Make 'em pay for every inch of ground.
,
,
,
,
"// ============== /OBJECTIVES/DEFEAT 2 ATTACK WAVES/TRIGGERS/EVENTS/EVENT: MOVING SUPPLIES/DIALOGUE: MOVING SUPPLIES ============== ",
// 1.ava advisor,
briefing_trigger_575_text,Command has recognised the forward supply depots are too vulnerable.
briefing_trigger_790_text,Fleet will begin transferring these supplies to the checkpoint base just in front of Fort Meru.
,
,
,
,
"// ============== /OBJECTIVES/DEFEAT 2 ATTACK WAVES/BRIEFING ============== ",
