// NAME,
scenario_name,[5] Blazing Trail
,
// DESCRIPTION,
scenario_descr,"The Arachnids have launched a vicious attack under the cover of a volcanic ash storm. Reinforcements are impeded, and Fraser's mercenaries are the only force in the sector available to stem the tide."
,
// OBJECTIVES,
objective_2_4_title,Inspect the lost facilities
objective_2_11_title,Clear the Hive
objective_2_6_title,Reach the Processing Plant
objective_2_7_title,Defend the Processing Plant
objective_2_0_title,Reach the evacuation point
objective_2_9_title,Do not lose the Fleet Beacon
objective_2_10_title,Clear the landing sites
objective_2_8_title,Construct 2 HMG Turrets in the Processing Plant
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_2,Beacon Marker
unit_4,Invation Marker 1
unit_5,Invation Marker 2
unit_141,#former biped
unit_235,Cleared Hive
unit_300,Invation Marker 3
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/OBJECTIVE: CAPTURE BASES/TRIGGERS/FIRST BASE/FIRST BASE ATTACK/BRIEFING ============== ",
// 10.merc,
briefing_trigger_460_text,"Bugs, coming at us from everywhere! It's like they were waiting for us!"
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: CAPTURE BASES/INTRO BRIEFING/BRIEFING ============== ",
// 10.merc,
briefing_trigger_27_text,"Problems, Director? We just cleared out another Bug hive, and now all I'm hearing on the radio is your people calling for help."
//,
// 8.director,
briefing_trigger_179_text,"For every action, there's a reaction. These hive purges must have provoked the Arachnids, and now they've overrun several facilities."
//,
// 10.merc,
briefing_trigger_498_text,So why don't you just call in your new Mobile Infantry buddies?
//,
// 8.director,
briefing_trigger_164_text,I can't bring in any reinforcements while this ash storm is happening.
//,
// 10.merc,
briefing_trigger_936_text,"So you're stuck with us, huh? Okay, we'll clear those areas and get your people out of there....but it's going to cost you extra."
//,
// 8.director,
briefing_trigger_937_text,*sigh* Of course.
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: CLEAR THE HIVE/BRIEFING ============== ",
// 8.director,
briefing_trigger_793_text,The facility’s ahead of you. You need to clear it of Arachnid infestation.
//,
// 10.merc,
briefing_trigger_945_text,On it.
//,
// 8.director,
briefing_trigger_946_text,And you need to move faster. We're tracking another approaching ash storm.
//,
// 10.merc,
briefing_trigger_947_text,Just what we need...
