// NAME,
scenario_name,[6] Central Heating
,
// DESCRIPTION,
scenario_descr,"The Mobile Infantry is gradually pushing back the Arachnid incursion, but Bugs still nest deep within a critical fuel refinery. Captain Zhao will lead the operation to clear it out."
,
// OBJECTIVES,
objective_2_9_title,Secure a base
objective_2_11_title,Clear the outer hives
objective_2_12_title,Select the marked Flag to call in the mercs
objective_2_8_title,Reactivate pumping stations
objective_2_16_title,Defend the pumping station
objective_2_15_title,Capture the radio station
objective_2_0_title,Open one of the gates
objective_2_1_title,Destroy the central hive
objective_2_14_title,Destroy all bug vents
objective_2_13_title,Secure Ammunition Caches
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_346,Warrior
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/SECURE THE FIRST BASE/BRIEFING ============== ",
// 9.junior,
briefing_trigger_138_text,"Listen up! HephaeStar Corp needs this central transport hub, and what's good for HephaeStar is good for the Federation. So, we're going to be taking it back from the Bugs today."
//,
// 8.director,
briefing_trigger_554_text,"Glad to see you're finally coming around, Captain. We appreciate the Federation's continued cooperation and partnership."
//,
// 10.merc,
briefing_trigger_1336_text,Urgh. Gimme a break...
//,
// 8.director,
briefing_trigger_1337_text,Recapturing our comms facility just south of the hub will give the M.I. a strategic base to operate from.
,
,
,
,
"// ============== /OBJECTIVES/CLEAR OUTER HIVES/TRIGGERS/SUCCESS ============== ",
// 9.junior,
briefing_trigger_823_text,All hives cleared.
briefing_trigger_824_text,"We're ready to begin our assault on the hub, Director."
,
,
,
,
"// ============== /OBJECTIVES/CLEAR OUTER HIVES/TRIGGERS/1ST HIVE CLEARD BRIEF ============== ",
// 9.junior,
briefing_trigger_1341_text,Hive eradicated!
,
,
,
,
"// ============== /OBJECTIVES/CLEAR OUTER HIVES/BRIEFING ============== ",
// 9.junior,
briefing_trigger_1340_text,Base secured. Now to clear the surrounding hives so the Bugs can't flank us on our assault.
//,
// 8.director,
briefing_trigger_1339_text,An excellent plan. So good to be working with real professionals.
//,
// 9.junior,
briefing_trigger_1338_text,"We believe in service, ma'am, not personal enrichment."
,
,
,
,
"// ============== /OBJECTIVES/CALL IN MERCENARIES/BRIEFING ============== ",
// 9.junior,
