// NAME,
scenario_name,[4] Dragon Isle
,
// DESCRIPTION,
scenario_descr,"A volcanic island in the middle of a lava lake called ""Dragon Island"" was recently lost to the Arachnids. With the arrival of Zhao's M.I. detachment, the time has come to take it back."
,
// OBJECTIVES,
objective_2_2_title,Clear all Hives
objective_2_1_title,Activate all Pumping Stations
objective_2_4_title,Do not lose more than 1 Pumping Station
objective_2_6_title,Clear the mountain Hive
objective_2_7_title,Guide sedated Bugs to the Cargo Ship
objective_2_8_title,Do not lose the Pheromone Carrier
objective_2_9_title,Keep at least 5 sedated Bugs alive
objective_2_10_title,Deploy Shredders to counter Pyroflies
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_256,Cine Camera Scroll Start
unit_257,Cine Camera Scroll End
unit_272,Inaccessible Gate
unit_300,Cargo Landing
unit_346,Final Destination
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/PRIMARY/CLEAR HIVES/TRIGGERS/BRIEFINGS ============== ",
// 9.junior,
briefing_trigger_366_text,Clear out these Bugs. The Federation needs these fuel supplies secured!
//,
// 10.merc,
briefing_trigger_556_text,"Doing good, Fed. Maybe there's a job here for you with us."
//,
// 9.junior,
briefing_trigger_557_text,The Mobile Infantry gives me something you'll never have.
//,
// 10.merc,
briefing_trigger_558_text,'Service guarantees citizenship'? Please! Good luck retiring on all those citizenship bucks...if you retire at all…
//,
// 9.junior,
briefing_trigger_367_text,Another area cleared!
//,
// 8.director,
briefing_trigger_559_text,"Excellent work, captain. The Mobile Infantry are living up to their reputation."
,
,
,
,
"// ============== /OBJECTIVES/PRIMARY/CLEAR HIVES/INTRO BRIEFING/BRIEFING ============== ",
// 9.junior,
briefing_trigger_536_text,Deploying onto Dragon Island. What's our orders?
//,
// 8.director,
briefing_trigger_163_text,Our facilities there were overrun by Arachnids some time ago. It's vital we clear out the Bugs and restart fuel production immediately.
//,
// 9.junior,
briefing_trigger_164_text,Sounds like a HephaeStar operation. Why are we here?
//,
// 8.director,
briefing_trigger_537_text,"The Sky Marshal understands the importance of what we are doing here, Captain.  And he appreciates your efforts."
//,
// 10.merc,
briefing_trigger_540_text,"You keep the Bugs busy, Fed Man. Me and my people will restart those pumps."
//,
// 9.junior,
