// NAME,
scenario_name,[7] Powder Keg
,
// DESCRIPTION,
scenario_descr,"Fraser, facing the end of his endeavors on Gehenna, has planned one last job for his mercenary band. One last venture to catch some Bugs. But this time, they don't intend to share the profits."
,
// OBJECTIVES,
objective_2_0_title,Clear Hives to capture Arachnids
objective_2_9_title,Do not lose the Pheromone Carrier
objective_2_11_title,Capture Bugs Before Timer Expires
objective_2_12_title,Keep at least 5 sedated Arachnids alive.
objective_2_1_title,Bring the sedated Arachnids to the Cargo Ship
objective_2_6_title,Capture or kill all mercenaries
objective_2_14_title,Defend the Beacon
objective_2_15_title,Reach Fraser before the ash storm
objective_2_13_title,Activate the pump to lure in the bugs
objective_2_10_title,Capture radio stations
objective_2_2_title,Clear Bug Hives
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_716,Lava Geyser
unit_766,"0,0"
unit_815,#Merc Kill Objective
unit_816,#Rendezvous Objective
unit_845,#Redeploy Marker
unit_884,Landmine
unit_885,Landmine
unit_886,Landmine
unit_887,Landmine
unit_889,Landmine
unit_890,Landmine
unit_891,Landmine
unit_892,Landmine
unit_893,Landmine
unit_912,Landmine
unit_913,Landmine
unit_941,#Crate Drop 1
unit_942,#Crate Drop 2
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/OBJECTIVE: CLEAR HIVES TO CAPTURE BUGS/TRIGGERS/OBJECTIVE PART 2: WEST HIVE ============== ",
// 10.merc,
briefing_trigger_854_text,"They ain't biting us yet, so let's get on to the next hive while we still got the storm cover."
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: CLEAR HIVES TO CAPTURE BUGS/BRIEFING ============== ",
// 10.merc,
briefing_trigger_776_text,HephaeStar wants to burn us? Screw that. We'll burn them.
briefing_trigger_1377_text,"We're getting off this damn rock, but not before scooping one last payout. Courtesy of the company's very own Bug catching tech."
briefing_trigger_899_text,"Let's see what the competition will pay for your secret new tech, Director Patel..."
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: PUMP ACTIVATION/NEAR PUMP ============== ",
// 10.merc,
briefing_trigger_941_text,"Next hive is just ahead. Instead of going in, smart thing might be to activate that pump, to draw them out through here. "
,
,
,
,
