// NAME,
scenario_name,[3] Scorched Earth
,
// DESCRIPTION,
scenario_descr,A series of nukes have to be planted to wipe out an extensive network of Bug tunnels deep below the volcanic mountains. Fraser is the man for the job.
,
// OBJECTIVES,
objective_2_10_title,Do not lose the Nuclear Engineers
objective_2_0_title,Bring the Nuclear Engineers to the 1st hive cluster
objective_2_11_title,Construct the 1st Nuke
objective_2_3_title,Get to the rendezvous point
objective_2_7_title,Bring the Nuclear Engineers to the 2nd hive cluster
objective_2_12_title,Construct the 2nd Nuke
objective_2_17_title,Enter the lab
objective_2_5_title,Get to the rendezvous point in the lab.
objective_2_6_title,Find the missing nuclear delivery team.
objective_2_14_title,Get out of the lab
objective_2_16_title,Seal the Lab Gate
objective_2_8_title,Bring the Nuclear Engineers to the 3rd hive cluster
objective_2_13_title,Construct the 3nd Nuke
objective_2_9_title,Exit the cave system
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_556,Nuke Location 1
unit_558,Nuke Location 2
unit_669,Nuke Location 3
unit_777,Rendezvous 2
unit_808,Lab Objective
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /INTRO/INTRO ============== ",
// 10.merc,
briefing_trigger_831_text,"Bugs have burrowed deeper than we thought. We're still on course to blow their whole network to hell… well, more to hell anyway."
//,
// 8.director,
briefing_trigger_699_text,"There are several hive clusters, so you'll need to set simultaneous detonations at all of them."
//,
// 10.merc,
briefing_trigger_341_text,It's a shame your new Fed buddies couldn't keep up on this one.
//,
// 8.director,
briefing_trigger_1215_text,Is someone feeling threatened?
//,
// 10.merc,
briefing_trigger_1216_text,I just don't like having a good deal screwed up by jarheads. These Feds like to take over anything that's not their business.
//,
// 8.director,
briefing_trigger_832_text,"I can handle Zhao. Rest assured, your contract is still secure."
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: KEEP YOUR NUKE SQUAD ALIVE/FAIL ============== ",
// 10.merc,
briefing_trigger_869_text,"Damn, we lost the engineers. Patel’s not gonna pay for this debacle..."
,
,
,
,
"// ============== /OBJECTIVES/OBJECTIVE: PLANT THE 1ST NUKE/TRIGGERS/HIVE CUTSCENE/APPROACH HIVE CLUSTER ============== ",
// 10.merc,
briefing_trigger_153_text,They've fixed the place up real nice.
