// NAME,
scenario_name,[1] Warm Welcome
,
// DESCRIPTION,
scenario_descr,Captain Zhao and his troopers arrive on Vilon Station were they are introduced to director Patel and encounter a number of unwelcome guests.
,
// OBJECTIVES,
objective_2_12_title,Gather Zhao's squad in the cargo bay
objective_2_0_title,Log in to the Cargo Bay Terminal
objective_2_1_title,Meet the director in the control room
objective_2_7_title,Investigate the Lower Levels
objective_2_5_title,Kill all Arachnids in the Lower Levels
objective_2_24_title,Do not lose all Firefighters
objective_2_27_title,Extinguish fires
objective_2_13_title,Extinguish all fires
objective_2_19_title,Extinguish all fires before the timer expires
objective_2_6_title,-
objective_2_9_title,Enter the Elevator
objective_2_25_title,Go to the dropships
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_10,Terminal
unit_12,Control Room
unit_60,Director
unit_320,Bottom Left
unit_321,Top Left
unit_322,Top Right
unit_324,Bottom Right
unit_403,Pipe Control Room
unit_542,End Marker
unit_676,Elevator
unit_700,Mech Waypoint 1
unit_701,Mech Waypoint 2
unit_721,Elevator
unit_732,Chair Crew
unit_769,Elevator
unit_774,Terminal
unit_790,Bottom Left
unit_791,Top Left
unit_792,Top Right
unit_793,Bottom Right
unit_843,Chair Crew
unit_878,Camera Scroll
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /FLOOR 1: GATHER SQUAD/TRIGGERS/A) REPLENISH UNITS/UNIT REINFORCING/SPEECHES/SPEECH 1 ============== ",
// 9.junior,
briefing_trigger_1120_text,"Stay together, until we know the situation here."
,
,
,
,
"// ============== /FLOOR 1: GATHER SQUAD/TRIGGERS/A) REPLENISH UNITS/UNIT REINFORCING/SPEECHES/SPEECH 2 ============== ",
// 9.junior,
briefing_trigger_1121_text,Fall in. We're not here for R&R!
,
,
,
,
"// ============== /FLOOR 1: GATHER SQUAD/TRIGGERS/A) REPLENISH UNITS/UNIT REINFORCING/SPEECHES/SPEECH 3 ============== ",
// 9.junior,
briefing_trigger_1123_text,Get in formation! Let's go!
,
,
,
,
"// ============== /FLOOR 1: GATHER SQUAD/TRIGGERS/B) LOG IN TO THE TERMINAL/BRIEFING ============== ",
// 9.junior,
briefing_trigger_1127_text,The control room. Let’s hope someone has answers for us here.
