// NAME,
scenario_name,[9] Brain Drain
,
// DESCRIPTION,
scenario_descr,"All Arachnids on the surface of Mahanagar’s central district have been eradicated. The Brain Bug, trapped in its underground lair, now faces its retribution amid the remnants of its minions.

Verhaegen and Keys descend together, knowing this will be the last battle. The fall of the Brain Bug will signify the ultimate triumph over the Arachnid invasion."
,
// OBJECTIVES,
objective_2_0_title,Find and capture the Brain Bug
objective_2_2_title,Secure all entry points
objective_2_7_title,Capture the Security Center
objective_2_9_title,Capture the Brain Bug
objective_2_10_title,Clear the final Bug Hive
objective_2_11_title,Bring Verhaegen to Kayla
objective_2_12_title,Verhaegen must survive
objective_2_13_title,Destroy all Brood Nests to stop the Drone attacks
objective_2_1_title,Clear both Bug Hives to stop the attack waves
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_21,Warrior
unit_260,Collapsed Entrance
unit_293,Locked Gate
unit_315,#M11 Patrol A
unit_316,#M11 Patrol B
unit_317,#M11 Patrol C
unit_332,East Entrance
unit_333,West Entrance
unit_352,Collapsed Tunnel
unit_355,Security Door
unit_370,Security Door
unit_381,#marauder entry
unit_383,#Attack Wave
unit_384,#Attack Wave
unit_409,#Drones Spawn
unit_410,#Drones Spawn
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/FIND THE BRAIN/TRIGGERS/FIRST ROOM ATTACK/FIRST ROOM ATTACK ============== ",
// 13.cop_vision,
briefing_trigger_258_text,The Brain Bug is sending an attack our way. It aims to slow us down!
//,
// 12.senior,
briefing_trigger_259_text,Then tell the wrinkle-sack he's only delaying the inevitable. We're still comin'!
,
,
,
,
"// ============== /OBJECTIVES/FIND THE BRAIN/BRIEFING ============== ",
// 11.cop,
briefing_trigger_204_text,Let's hunt down and kill this blasted Brain Bug!
//,
// 12.senior,
briefing_trigger_267_text,"Y'know I'd normally agree, but Fed Intel ain't going to be happy if their favorite lab pet arrives to them in pieces. New orders are for capture."
//,
// 11.cop,
briefing_trigger_268_text,"After all this, we're letting that damn thing live?!"
//,
// 12.senior,
briefing_trigger_270_text,"Trust me, when it comes to Fed Intel, there's a hell of a lot worse for a Bug than death..."
,
,
,
,
