// NAME,
scenario_name,[4] Burning Bridges
,
// DESCRIPTION,
scenario_descr,"As the seriousness of the Arachnid incursion becomes undeniable, martial law is declared in Mahanagar. A radical decision is made to stem the tide: All bridges leading into the central district must be destroyed.

After this plan fails in Verhaegen’s sector, the Mobile Infantry and MPD have to step in once more to salvage the situation."
,
// OBJECTIVES,
objective_2_7_title,Hold the highway blockade
objective_2_10_title,Officer Keys must survive
objective_2_0_title,Raise the Drawbridges
objective_2_4_title,Clear all Bug Hives
objective_2_1_title,Reboot the Power Turbine
objective_2_3_title,Place Explosives on the main bridge
objective_2_8_title,Construct Wavebreaker Mortars (with J.A.C. Trooper or Technicians)
objective_2_11_title,Destroy the Plasma Bug with an M7 Cyclone
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_43,#Camera Marker
unit_114,#Invasion Marker A
unit_208,#Bomb Marker
unit_210,#Bomb Marker
unit_231,Factory Entrance
unit_239,Highway Blockade
unit_416,Empty Tunnel
unit_483,#radius center
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/HOLD THE HIGHWAY BLOCKADE/TRIGGERS/WAVES/SECOND PRE-PLACED WAVE/INITIAL AI TEAM ATTACKS ============== ",
// 11.cop,
briefing_trigger_495_text,"Hmm -- I'll save the rooting for later, Major. Bugs on the way!"
,
,
,
,
"// ============== /OBJECTIVES/HOLD THE HIGHWAY BLOCKADE/TRIGGERS/WAVES/SECOND PRE-PLACED WAVE/DIALOGUE ============== ",
// 12.senior,
briefing_trigger_485_text,"Seems your lil' ""intuition"" show has impressed some of my bosses at Intel, Keys. I don't know how you've been missed as a psychic all these years, but it's sure saving me a few scrapes on this op, anyway."
//,
// 11.cop,
briefing_trigger_486_text,"Fed Intelligence are watching, huh? That got you worried that you might one day be saluting me, Major?"
//,
// 12.senior,
briefing_trigger_487_text,More the idea that you or those cranks might be rooting around inside my head. Never have warmed to that...
,
,
,
,
"// ============== /OBJECTIVES/HOLD THE HIGHWAY BLOCKADE/TRIGGERS/WAVES/OTHER WAVES/WAVE AFTER VERHAEGEN ARRIVES ============== ",
// 11.cop,
briefing_trigger_401_text,Big Bug attack incoming!
,
,
,
,
