// NAME,
scenario_name,[6] Changing Tides
,
// DESCRIPTION,
scenario_descr,"It has been confirmed: a Brain Bug is leading the Arachnids hordes in the city. Now that the enemy is known, the M.I. and MPD move swiftly to defeat it.

The second phase of Keys’ plan begins: By manipulating Mahanagar’s advanced water systems, a great flood will sweep through the outer districts. Tens of thousands of Bugs will drown, leaving the Brain Bug trapped and isolated."
,
// OBJECTIVES,
objective_2_6_title,Reach the elevator
objective_2_7_title,Find a way down into the next floor
objective_2_4_title,Get a squad to the stairs
objective_2_5_title,Construct 3 Autocannon Turrets in front of the entrance
objective_2_9_title,Repair the Power Turbine
objective_2_8_title,Open the elevator
objective_2_10_title,Clear the Bug Hives
objective_2_1_title,Get into the sewers
objective_2_0_title,Turn on Flood Pumps
objective_2_14_title,Exit the water plant
objective_2_13_title,Kill the Ravager
objective_2_12_title,Bring the Tactical Officer to the weapons storage
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_193,Sewers Door
unit_196,Collapsed Tunnel
unit_249,Broken Terminal
unit_255,Broken Terminal
unit_257,Broken Terminal
unit_290,Elevator
unit_302,Elevator
unit_310,Elevator
unit_324,#Spawn Point
unit_327,#Spawn Point
unit_332,#Turret Construction
unit_346,#bug spawn
unit_347,#bug spawn
unit_373,#bug spawn
unit_376,#destination
unit_381,#sewers
unit_443,#camera start
unit_447,#Camera start
unit_544,#Camera start
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/STAGE 1: POLICE HQ FLOORS/PRISON FLOOR/PRISON: REACH ELEVATOR/TRIGGERS/DIALOGUE: DRONES INCOMING ============== ",
// 6.hidden_hawthorne,
briefing_trigger_287_text,[Bug scream]
//,
// 11.cop,
briefing_trigger_285_text,"Whoa, that's an awful screech!"
//,
// 12.senior,
briefing_trigger_286_text,The face at the end of it is even worse. Drones on the way!
,
,
,
,
"// ============== /OBJECTIVES/STAGE 1: POLICE HQ FLOORS/PRISON FLOOR/PRISON: REACH ELEVATOR/BRIEFING ============== ",
// 12.senior,
briefing_trigger_89_text,"You've proved handy 'til now, Keys. My team's in your charge -- lead the way."
//,
// 11.cop,
briefing_trigger_281_text,"It almost sounds like you're enjoying working with me, Major."
//,
// 12.senior,
