// NAME,
scenario_name,[2] Railway Rendezvous
,
// DESCRIPTION,
scenario_descr,"The Mobile Infantry garrison in Mahanagar has been dispatched to the northern district to deal with a troublesome outbreak of Arachnids.

After touching down near the local railway station, Major Verhaegen leads his troopers with the objective of clearing the streets by sunrise."
,
// OBJECTIVES,
objective_2_6_title,Enter the railway station
objective_2_10_title,Clear the tunnel that leads to the station
objective_2_0_title,Clear the railway station
objective_2_7_title,Sgt. Keys must survive
objective_2_2_title,Defend the railway platforms
objective_2_3_title,Don't lose more than 30 civilians
objective_2_1_title,Clear all Bug Hives
objective_2_12_title,Deploy J.A.C. Troopers to deal with Tiger Bugs
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_23,Collapsed Tunnel
unit_25,Collapsed Tunnel
unit_48,Tunnel
unit_195,Station Entrance
unit_216,#Invasion Direction
unit_219,Tunnel
unit_230,#camera end
unit_269,#civ1 spawn
unit_327,#civ3 spawn
unit_328,#civ2 spawn
unit_344,#Platforms Marker
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/ENTER RAILWAY STATION/TRIGGERS/OFFENSIVE/DIALOGUE: PUSH THROUGH ============== ",
// 12.senior,
briefing_trigger_470_text,"They ain't stopping... but neither do we, soldiers! Keep pushing!"
,
,
,
,
"// ============== /OBJECTIVES/ENTER RAILWAY STATION/BRIEFING ============== ",
// 12.senior,
briefing_trigger_383_text,Listen up! Bugs have breached the northern district and got the cops here struggling. You know what that means...
briefing_trigger_74_text,Those of you joining us for the first time will learn quick that Major Verhaegen's boys are the best Bug stompin' detail in the M.I.
briefing_trigger_75_text,"Intel informs me we've got a large concentration of Bugs around the train lines. So our next stop, the railway station!"
briefing_trigger_80_text,"Uphold my sterling reputation, troopers. We're moving out!"
,
,
,
,
"// ============== /OBJECTIVES/CLEAR THE TUNNEL TO GET TO THE STATION/TRIGGERS/SUCCESS ============== ",
// 12.senior,
briefing_trigger_70_text,Blast! Clearing them out caused the tunnel collapse.
briefing_trigger_93_text,We'll need to find a side way in over that rail line.
,
,
,
,
"// ============== /OBJECTIVES/CLEAR THE TUNNEL TO GET TO THE STATION/BRIEFING ============== ",
// 12.senior,
