// NAME,
scenario_name,[3] Traffic Stop
,
// DESCRIPTION,
scenario_descr,"Alarming Arachnid outbreaks are surfacing throughout the outer districts. The M.I. garrison is forced to disperse its resources to address these new hotspots.

Verhaegen is tasked with the defense of the northern district. Short on manpower and equipment, his units receive much needed support from Keys, her colleagues, and her remarkable intuition."
,
// OBJECTIVES,
objective_2_0_title,Defend the frontline
objective_2_5_title,Defend the roundabout
objective_2_9_title,Defend the roundabout until the dropships arrive
objective_2_2_title,Disband 4 groups of civilians at any dropship site
objective_2_8_title,Do not lose 40 or more civilians
objective_2_11_title,Clear the sewer Bug Hives
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_8,#Line 1 Invasion M
unit_9,#Line 1 Invasion W
unit_10,#Line 2 Invasion W
unit_11,#Line 2 Invasion E
unit_12,#Line 1 Invasion E
unit_14,#Line 3 Invasion B
unit_40,#Invasion Marker
unit_194,#Evac objective
unit_215,#Camera start
unit_216,#Line 3 Invasion A
unit_220,#Civ exit
unit_221,#MUTE_CARRIER_TIMEOUT_ERROR
unit_226,#Evac objective
unit_227,#Evac objective
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/PHASE 1: FRONTLINE/DEFEND 1ST STATION/TRIGGERS/ATTACK WAVES/FIRST MATERIEL ARRIVES ============== ",
// 11.cop,
briefing_trigger_475_text,First shipment of materiel has arrived.
//,
// 12.senior,
briefing_trigger_713_text,About time. Let's see how smart the Bugs look in front of a gun turret...
,
,
,
,
"// ============== /OBJECTIVES/PHASE 1: FRONTLINE/DEFEND 1ST STATION/TRIGGERS/FAIL ============== ",
// 12.senior,
briefing_trigger_953_text,"That's weak, troopers! You've let the Bugs overrun us!"
,
,
,
,
"// ============== /OBJECTIVES/PHASE 1: FRONTLINE/DEFEND 1ST STATION/BRIEFING ============== ",
// 12.senior,
briefing_trigger_455_text,Damn Bugs! They suckered us into that Station and spread out behind our backs. Ain't this city supposed to be better equipped for attacks!?
//,
// 11.cop,
briefing_trigger_44_text,Governor Govac has repeatedly ignored the city's pleadings for more protection. Seems the Bugs were smart enough to exploit his failings.
//,
// 12.senior,
