// NAME,
scenario_name,[5] Death from Above
,
// DESCRIPTION,
scenario_descr,"The central district is now largely cut off from its surroundings by land, but the Arachnids have found a way to continue their advance: traveling underground through the metro system. Is there a Brain Bug orchestrating their movements?

Sergeant Keys presents a plan to further reduce the stream of Bugs, with Verhaegen assigned to put it into action."
,
// OBJECTIVES,
objective_2_8_title,Construct Sam Sites on the marked locations
objective_2_2_title,Clear all the Bug Hives
objective_2_1_title,Capture the Police HQ rooftop
objective_2_11_title,Keep the Snipers or Rocket Troopers alive
objective_2_6_title,Defend the Police HQ rooftop
objective_2_10_title,Hold against the final attack waves
objective_2_7_title,Destroy 2 Plasma Bugs with A-12 Pegasus Gunships
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_251,Police HQ
unit_289,#Ground Middle Left
unit_290,#round Middle Right
unit_291,#Ground Right
unit_292,#Ground Left
unit_293,#Air Spawn Left
unit_294,#Air Spawn Middle
unit_295,#Air Spawn Right
unit_325,#invasion marker
unit_326,#invasion marker
unit_413,#invasion marker
unit_414,#invasion marker
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /OBJECTIVES/CONSTRUCT AA TURRETS/TRIGGERS/TURRET CHECKS/DIALOGUE: TURRET LOST ============== ",
// 12.senior,
briefing_trigger_659_text,"A SAM site’s been knocked out! Get the techs here to get it firing again, ASAP!"
,
,
,
,
"// ============== /OBJECTIVES/CONSTRUCT AA TURRETS/TRIGGERS/DIALOGUES ============== ",
// 12.senior,
briefing_trigger_379_text,First SAM is up. Let's clear them skies!
briefing_trigger_380_text,The flyboys better be thanking us -- 2nd SAM site has been deployed.
briefing_trigger_709_text,SAM site operational!
briefing_trigger_381_text,Another SAM site online -- one more should do it!
briefing_trigger_704_text,Final SAM site is up!
,
,
,
,
"// ============== /OBJECTIVES/CONSTRUCT AA TURRETS/BRIEFING ============== ",
// 11.cop,
briefing_trigger_331_text,Looks like we're late to the party -- Police HQ is already crawling with Bugs.
//,
// 12.senior,
briefing_trigger_487_text,And you're sure this is the best way down to the maintenance tunnels?
//,
// 11.cop,
briefing_trigger_332_text,"To keep us off the streets, yes. HQ will give us quick access into the heart of the water mains system. And candidly, I'd like to check on my colleagues, too."
//,
// 12.senior,
