// NAME,
scenario_name,[1] Protect and Serve
,
// DESCRIPTION,
scenario_descr,"Sergeant Kayla Keys, a promising police officer in Mahanagar’s northern district, is called up as negotiator for an armed robbery at a local bank.

As she tries to bring the criminal into custody in a peaceful manner, an unexpected threat interrupts the intervention: Arachnids."
,
// OBJECTIVES,
objective_2_6_title,Sgt. Keys must survive
objective_2_1_title,Destroy all Bug Vents
objective_2_10_title,Capture the Radio Post
objective_2_0_title,Clear all Bug Hives
objective_2_3_title,Sgt. Keys must reach the sewers entrance
objective_2_4_title,Investigate the underground
objective_2_5_title,Sgt. Keys must reach the Police Department
objective_2_9_title,Defend the Police Department
objective_2_7_title,Deploy a Peacekeeper Biped
objective_2_2_title,Deploy a Riot Shield Squad
objective_2_11_title,Collect all Materiel caches to construct 3 Autocannon Turrets
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_14,Police Department
unit_121,Sewer Tunnel
unit_135,Criminal
unit_213,#underground
unit_215,#brain encounter
unit_225,#Invasion Marker A
unit_226,#Invasion Marker B
unit_244,#Offensive target
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
,
"// ============== /INTRO/INTRO BRIEFINGS ============== ",
// 4.propagandist,
briefing_trigger_99_text,Citizens of Mahanagar have nothing to fear thanks to the men and women of the MPD!
briefing_trigger_55_text,"They control troublesome situations, like this one! A foolish robbery attempt, now in the hands of our capable police negotiator!"
//,
// 11.cop,
briefing_trigger_46_text,"Easy on those trigger fingers, guys. There's a way out of this for everyone."
briefing_trigger_58_text,I’m Sergeant Keys. I’m here to make sure no one gets hurt.
briefing_trigger_717_text,"Just let the hostages go, and I'll see to it that your concerns are heard by the Federation Judiciary."
//,
// 15.civilian,
briefing_trigger_121_text,I’m not holding anyone hostage! All I wanted was to cash out my war bonds...
briefing_trigger_751_text,This damn Bug War is taking forever - and they won’t give me my money back! I’ve got rent to pay - a family to feed!
//,
// 11.cop,
briefing_trigger_704_text,"I know life in Mahanagar can be a struggle, but hurting innocents isn't going to solve any problems."
//,
// 15.civilian,
briefing_trigger_705_text,"I never meant to hurt anyone - I just need MY money!
"
//,
// 11.cop,
briefing_trigger_53_text,Bugs!?
briefing_trigger_114_text,"Wait! Check your fire! "
,
,
,
,
