// NAME,
scenario_name,Impact Analysis
,
// DESCRIPTION,
scenario_descr,"Following the successful flight and detonation of the test missile, samples must be extracted from ground zero for further environmental analysis. A local Arachnid hive has already begun nesting within the rubble and must be dealt with to ensure the samples can be safely retrieved."
,
// OBJECTIVES,
,
// UNIT NAMES,
// Note: Don't translate names starting with #,
unit_13,base_a
unit_70,introMarkerCrater
unit_71,introMarkerNests
unit_72,introMarkerStart
,
// SPAWNED UNIT NAMES,
,
///// BRIEFING TEXTS,
// TRIGGER TEXTS,
,
